RTPX7L, G, 0, -inf, -inf, inf
FYJ5GS, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
FYJ5GS, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
FYJ5GS, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
FYJ5GS, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
FYJ5GS, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
FYJ5GS, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
FYJ5GS, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
G6KWSZ, B, 3, inf, 6, 8
4W88SH, G, 4, 18, 6, 8
G6KWSZ, B, 3, 18, 6, 8
4W88SH, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
4W88SH, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5VHBF8, G, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5VHBF8, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5VHBF8, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5WJZAB, G, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5WJZAB, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
5WJZAB, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
99AGNJ, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
99AGNJ, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
FYJ5GS, G, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
FYJ5GS, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
FYJ5GS, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
LMDBW1, G, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
LMDBW1, R, 4, 8, 6, 8
G6KWSZ, B, 3, 8, 6, 8
LMDBW1, Y, 4, 18, 6, 8
G6KWSZ, B, 3, 8, 6, 8
OBP6OQ, B, 4, 6, 6, 8
G6KWSZ, B, 3, 6, 6, 8
57VQP8, B, 2, 6, 6, 8
G6KWSZ, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
G6KWSZ, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
G6KWSZ, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
OBP6OQ, B, 3, inf, 6, 8
4W88SH, G, 4, 18, 6, 8
OBP6OQ, B, 3, 18, 6, 8
4W88SH, R, 4, 8, 6, 8
OBP6OQ, B, 3, 8, 6, 8
4W88SH, Y, 4, 18, 6, 8
OBP6OQ, B, 3, 8, 6, 8
5WJZAB, G, 4, 18, 6, 8
OBP6OQ, B, 3, 8, 6, 8
5WJZAB, R, 4, 8, 6, 8
OBP6OQ, B, 3, 8, 6, 8
5WJZAB, Y, 4, 18, 6, 8
OBP6OQ, B, 3, 8, 6, 8
99AGNJ, B, 4, 6, 6, 8
OBP6OQ, B, 3, 6, 6, 8
57VQP8, B, 2, 6, 6, 8
OBP6OQ, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
OBP6OQ, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
OBP6OQ, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
OBP6OQ, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
OBP6OQ, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
OBP6OQ, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
SH4601, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
SH4601, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
SH4601, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
SH4601, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
SH4601, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
SH4601, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
SH4601, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
SH4601, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
TI082Q, B, 3, inf, 6, 8
4W88SH, G, 4, 18, 6, 8
TI082Q, B, 3, 18, 6, 8
4W88SH, R, 4, 8, 6, 8
TI082Q, B, 3, 8, 6, 8
4W88SH, Y, 4, 18, 6, 8
TI082Q, B, 3, 8, 6, 8
5WJZAB, G, 4, 18, 6, 8
TI082Q, B, 3, 8, 6, 8
5WJZAB, R, 4, 8, 6, 8
TI082Q, B, 3, 8, 6, 8
5WJZAB, Y, 4, 18, 6, 8
TI082Q, B, 3, 8, 6, 8
99AGNJ, B, 4, 6, 6, 8
TI082Q, B, 3, 6, 6, 8
57VQP8, B, 2, 6, 6, 8
TI082Q, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
TI082Q, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
TI082Q, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
TI082Q, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
TI082Q, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
TROFOM, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
TROFOM, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
TROFOM, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
TROFOM, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
TROFOM, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
TROFOM, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
TROFOM, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
TROFOM, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
UD3BEB, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
UD3BEB, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
UD3BEB, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
UD3BEB, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
UD3BEB, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
UD3BEB, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
UD3BEB, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
UD3BEB, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
ZHDMMH, G, 3, inf, 6, 8
4W88SH, G, 4, 11, 6, 8
ZHDMMH, G, 3, 11, 6, 8
4W88SH, R, 4, 1, 6, 8
ZHDMMH, G, 3, 1, 6, 8
57VQP8, B, 2, 6, 6, 8
ZHDMMH, R, 3, inf, 6, 8
4W88SH, G, 4, 3, 6, 8
ZHDMMH, R, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
ZHDMMH, Y, 3, inf, 6, 8
4W88SH, G, 4, 13, 6, 8
ZHDMMH, Y, 3, 13, 6, 8
4W88SH, R, 4, 3, 6, 8
ZHDMMH, Y, 3, 3, 6, 8
57VQP8, B, 2, 6, 6, 8
3JRRBS, B, 1, 6, -inf, 6
57VQP8, G, 2, -inf, -inf, 6
4W88SH, R, 3, inf, -inf, 6
5WJZAB, G, 4, 15, -inf, 6
4W88SH, R, 3, 15, -inf, 6
5WJZAB, R, 4, 5, -inf, 6
4W88SH, R, 3, 5, -inf, 5
5WJZAB, Y, 4, 15, -inf, 5
4W88SH, R, 3, 5, -inf, 5
99AGNJ, B, 4, 3, -inf, 5
4W88SH, R, 3, 3, -inf, 3
99AGNJ, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
FYJ5GS, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
FYJ5GS, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
G6KWSZ, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
G6KWSZ, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
LYNPT4, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
LYNPT4, G, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
LYNPT4, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
OBP6OQ, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
OBP6OQ, G, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
OBP6OQ, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
SH4601, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
SH4601, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TI082Q, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TI082Q, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TI082Q, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TROFOM, G, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TROFOM, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
TROFOM, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
UD3BEB, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
UD3BEB, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
UD3BEB, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
ZHDMMH, B, 4, 3, -inf, 3
4W88SH, R, 3, 3, -inf, 3
ZHDMMH, R, 4, 5, -inf, 3
4W88SH, R, 3, 3, -inf, 3
ZHDMMH, Y, 4, 15, -inf, 3
4W88SH, R, 3, 3, -inf, 3
57VQP8, G, 2, 3, 3, 6
4W88SH, Y, 3, inf, 3, 6
5WJZAB, G, 4, 25, 3, 6
4W88SH, Y, 3, 25, 3, 6
5WJZAB, R, 4, 15, 3, 6
4W88SH, Y, 3, 15, 3, 6
5WJZAB, Y, 4, 25, 3, 6
4W88SH, Y, 3, 15, 3, 6
99AGNJ, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
99AGNJ, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
FYJ5GS, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
FYJ5GS, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
G6KWSZ, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
LYNPT4, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
LYNPT4, G, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
LYNPT4, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
OBP6OQ, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
OBP6OQ, G, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
OBP6OQ, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
SH4601, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
SH4601, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
TI082Q, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
TI082Q, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
TI082Q, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
TROFOM, G, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
TROFOM, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
TROFOM, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
UD3BEB, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
UD3BEB, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
UD3BEB, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
ZHDMMH, B, 4, 13, 3, 6
4W88SH, Y, 3, 13, 3, 6
ZHDMMH, R, 4, 15, 3, 6
4W88SH, Y, 3, 13, 3, 6
ZHDMMH, Y, 4, 25, 3, 6
4W88SH, Y, 3, 13, 3, 6
57VQP8, G, 2, 13, 3, 6
3JRRBS, B, 1, 6, -inf, 6
57VQP8, Y, 2, -inf, -inf, 6
4W88SH, G, 3, inf, -inf, 6
5WJZAB, G, 4, 23, -inf, 6
4W88SH, G, 3, 23, -inf, 6
5WJZAB, R, 4, 13, -inf, 6
4W88SH, G, 3, 13, -inf, 6
5WJZAB, Y, 4, 23, -inf, 6
4W88SH, G, 3, 13, -inf, 6
99AGNJ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
SH4601, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
SH4601, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
UD3BEB, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
UD3BEB, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
UD3BEB, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
ZHDMMH, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
ZHDMMH, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
ZHDMMH, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
57VQP8, Y, 2, 11, -inf, 6
3JRRBS, B, 1, 6, -inf, 6
5WJZAB, G, 2, -inf, -inf, 6
4W88SH, G, 3, inf, -inf, 6
57VQP8, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
57VQP8, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
SH4601, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
SH4601, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
SH4601, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
T1MPTK, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
T1MPTK, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
T1MPTK, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TI082Q, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
TROFOM, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
5WJZAB, G, 2, 11, -inf, 6
3JRRBS, B, 1, 6, -inf, 6
5WJZAB, R, 2, -inf, -inf, 6
4W88SH, G, 3, inf, -inf, 6
57VQP8, B, 4, 1, -inf, 6
4W88SH, G, 3, 1, -inf, 1
57VQP8, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
99AGNJ, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
99AGNJ, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
FYJ5GS, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
FYJ5GS, R, 4, 3, -inf, 1
4W88SH, G, 3, 1, -inf, 1
FYJ5GS, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
G6KWSZ, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
G6KWSZ, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LMDBW1, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LMDBW1, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LMDBW1, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LYNPT4, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LYNPT4, R, 4, 3, -inf, 1
4W88SH, G, 3, 1, -inf, 1
LYNPT4, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
OBP6OQ, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
OBP6OQ, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
OBP6OQ, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
SH4601, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
SH4601, R, 4, 3, -inf, 1
4W88SH, G, 3, 1, -inf, 1
SH4601, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
T1MPTK, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
T1MPTK, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
T1MPTK, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TI082Q, B, 4, 1, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TI082Q, R, 4, 3, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TI082Q, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TROFOM, G, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TROFOM, R, 4, 3, -inf, 1
4W88SH, G, 3, 1, -inf, 1
TROFOM, Y, 4, 13, -inf, 1
4W88SH, G, 3, 1, -inf, 1
5WJZAB, R, 2, 1, 1, 6
4W88SH, R, 3, inf, 1, 6
57VQP8, B, 4, -7, 1, 6
4W88SH, R, 3, -7, 1, 6
5WJZAB, R, 2, 1, 1, 6
4W88SH, Y, 3, inf, 1, 6
57VQP8, B, 4, 3, 1, 6
4W88SH, Y, 3, 3, 1, 3
57VQP8, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
99AGNJ, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
FYJ5GS, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
FYJ5GS, R, 4, 5, 1, 3
4W88SH, Y, 3, 3, 1, 3
FYJ5GS, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
G6KWSZ, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
LMDBW1, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
LMDBW1, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
LMDBW1, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
LYNPT4, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
LYNPT4, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
LYNPT4, R, 4, 5, 1, 3
4W88SH, Y, 3, 3, 1, 3
OBP6OQ, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
OBP6OQ, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
OBP6OQ, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
SH4601, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
SH4601, R, 4, 5, 1, 3
4W88SH, Y, 3, 3, 1, 3
SH4601, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
T1MPTK, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
T1MPTK, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
T1MPTK, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
TI082Q, B, 4, 3, 1, 3
4W88SH, Y, 3, 3, 1, 3
TI082Q, R, 4, 5, 1, 3
4W88SH, Y, 3, 3, 1, 3
TI082Q, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
TROFOM, G, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
TROFOM, R, 4, 5, 1, 3
4W88SH, Y, 3, 3, 1, 3
TROFOM, Y, 4, 15, 1, 3
4W88SH, Y, 3, 3, 1, 3
5WJZAB, R, 2, 3, 3, 6
57VQP8, B, 3, inf, 3, 6
4W88SH, G, 4, 20, 3, 6
57VQP8, B, 3, 20, 3, 6
4W88SH, R, 4, 10, 3, 6
57VQP8, B, 3, 10, 3, 6
4W88SH, Y, 4, 20, 3, 6
57VQP8, B, 3, 10, 3, 6
99AGNJ, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
99AGNJ, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
FYJ5GS, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
FYJ5GS, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
FYJ5GS, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
G6KWSZ, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
G6KWSZ, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
LMDBW1, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
LMDBW1, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
LMDBW1, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
OBP6OQ, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
OBP6OQ, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
OBP6OQ, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
SH4601, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
SH4601, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
SH4601, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
T1MPTK, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
T1MPTK, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
T1MPTK, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
TI082Q, B, 4, 8, 3, 6
57VQP8, B, 3, 8, 3, 6
TI082Q, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
TI082Q, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
TROFOM, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
TROFOM, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
TROFOM, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
UD3BEB, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
UD3BEB, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
UD3BEB, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
ZHDMMH, G, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
ZHDMMH, R, 4, 10, 3, 6
57VQP8, B, 3, 8, 3, 6
ZHDMMH, Y, 4, 20, 3, 6
57VQP8, B, 3, 8, 3, 6
5WJZAB, R, 2, 8, 3, 6
3JRRBS, B, 1, 6, -inf, 6
5WJZAB, Y, 2, -inf, -inf, 6
4W88SH, G, 3, inf, -inf, 6
57VQP8, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
57VQP8, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
99AGNJ, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
FYJ5GS, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
G6KWSZ, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, G, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LMDBW1, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, R, 4, 13, -inf, 6
4W88SH, G, 3, 11, -inf, 6
LYNPT4, Y, 4, 23, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, B, 4, 11, -inf, 6
4W88SH, G, 3, 11, -inf, 6
OBP6OQ, G, 4, 23, -inf, 6
